,word,occurrences,percentile
76,的,772887,1.0
6,我,644065,0.9999666255047892
31,你,544535,0.9999332510095785
107,了,532542,0.9998998765143677
60,是,378292,0.9998665020191569
67,啊,320625,0.9998331275239462
106,不,249907,0.9997997530287355
16,哈哈,219169,0.9997663785335247
66,好,173661,0.9997330040383139
79,有,152894,0.9996996295431032
53,都,148427,0.9996662550478924
81,就,140621,0.9996328805526816
148,也,139552,0.9995995060574708
84,在,109956,0.9995661315622602
37,这,106499,0.9995327570670494
69,没,106138,0.9994993825718386
26,去,105713,0.9994660080766279
289,很,104975,0.9994326335814171
133,人,103292,0.9993992590862063
63,吧,102406,0.9993658845909955
40,要,102357,0.9993325100957848
65,还,101884,0.999299135600574
232,说,93421,0.9992657611053632
195,一,93329,0.9992323866101526
204,那,86280,0.9991990121149418
189,个,82770,0.999165637619731
73,看,81348,0.9991322631245202
29,呢,81001,0.9990988886293095
142,啦,78411,0.9990655141340987
129,哈,73885,0.9990321396388879
54,不是,68560,0.9989987651436772
49,吃,68547,0.9989653906484665
92,想,67349,0.9989320161532557
372,吗,66179,0.9988986416580449
155,太,64990,0.9988652671628342
89,来,62954,0.9988318926676234
589,什么,61043,0.9987985181724126
120,他,60383,0.9987651436772019
328,我们,59698,0.9987317691819911
93,会,59529,0.9986983946867803
205,就是,57194,0.9986650201915696
316,呀,55100,0.9986316456963589
687,给,53880,0.9985982712011481
71,怎么,53839,0.9985648967059373
105,得,53315,0.9985315222107266
12,哦,53249,0.9984981477155158
383,这个,51800,0.998464773220305
110,到,50967,0.9984313987250942
46,么,50758,0.9983980242298836
261,多,45865,0.9983646497346728
87,你们,44534,0.998331275239462
542,小,44342,0.9982979007442513
241,真,44336,0.9982645262490405
215,嘛,43976,0.9982311517538297
213,可以,43762,0.9981977772586189
164,和,42939,0.9981644027634082
197,没有,42823,0.9981310282681974
360,又,42742,0.9980976537729866
341,现在,41046,0.998064279277776
96,过,40954,0.9980309047825652
175,知道,40628,0.9979975302873544
607,还是,40259,0.9979641557921436
423,一个,39981,0.9979307812969329
292,喜欢,39812,0.9978974068017221
285,这么,39329,0.9978640323065113
244,能,38097,0.9978306578113006
50,点,38053,0.9977972833160899
257,大,37927,0.9977639088208791
212,上,37591,0.9977305343256683
126,死,36984,0.9976971598304576
121,做,35975,0.9976637853352468
266,呵呵,35688,0.997630410840036
775,对,34156,0.9975970363448253
118,被,33289,0.9975636618496145
179,爱,33285,0.9975302873544037
226,自己,31961,0.997496912859193
111,时候,31688,0.9974635383639823
59,才,31485,0.9974301638687715
451,她,31071,0.9973967893735607
42,谢谢,30777,0.99736341487835
97,着,29482,0.9973300403831392
522,把,29060,0.9972966658879284
325,这样,28354,0.9972632913927176
938,哎,27601,0.997229916897507
64,觉得,27556,0.9971965424022962
277,谁,27540,0.9971631679070854
334,真的,27131,0.9971297934118747
1094,让,26820,0.9970964189166639
546,天,26747,0.9970630444214531
72,叫,26576,0.9970296699262423
246,跟,26336,0.9969962954310316
493,今天,25718,0.9969629209358208
308,别,25344,0.99692954644061
296,不错,24969,0.9968961719453994
188,下,24898,0.9968627974501886
1261,啥,23656,0.9968294229549778
813,买,23578,0.996796048459767
117,不要,23371,0.9967626739645563
302,那么,23178,0.9967292994693455
209,最,22757,0.9966959249741347
7,打,21903,0.996662550478924
